 [Introducción al Conocimiento de la Sociedad y el Estado (CBC)], [Introducción al Pensamiento Científico (CBC)], [Análisis Matemático A (CBC)], [Álgebra A (CBC)], [Física (CBC)], [Pensamiento Computacional (CBC)], [Análisis Matemático II], [Física de los Sistemas de Partículas], [Introducción a la Ingeniería Electrónica], [Algoritmos y Programación], [Álgebra Lineal]," [Electricidad, Magnetismo y Calor]", [Introducción a los Dispositivos Electrónicos], [Sistemas Digitales], [Probabilidad y Estadística], [Señales y Sistemas], [Análisis de Circuitos], [Redes de Comunicaciones], [Planificación de Proyectos], [Circuitos Microelectrónicos], [Procesos Estocásticos], [Control Automático], [Taller de Sistemas Embebidos], [Química y Electroquímica], [Electromagnetismo Aplicado], [Taller de Automatización y Control], [Dispositivos Semiconductores], [Taller de Comunicaciones Digitales], [Taller de Diseño de Circuitos Electrónicos], [Higiene y Seguridad], [Legislación y Ejercicio Profesional], [Gestión de Proyectos Electrónicos]," [Impacto Social, Ambiental y Desarrollo Sustentable]", [Instrumentos Electrónicos y Metrología], [Internet de las Cosas], [Compatibilidad Electromagnética], [Laboratorio de Comunicaciones], [Sistemas Operativos], [Algoritmos y Estructuras de Datos], [Sistemas Operativos Embebidos], [Control Automático Multivariable], [Electrónica de Potencia], [Robótica Móvil], [Robótica Industrial], [Comunicación y Computación Cuántica], [Introducción a la Ingeniería Acústica], [Ciberseguridad de Redes e Infraestructuras Críticas]," [Introducción a la industria, los Sistemas y el Negocio Aeroespacial]"
,Positiva,Positiva,Positiva,Positiva,,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,,Positiva,Positiva,Positiva,,Positiva,,,,,,Positiva,,,Positiva,,,,,,,,,,,,,,,
,,Positiva,Positiva,Positiva,,Positiva,,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,,Positiva,,,,,,,,,Positiva,Positiva,Negativa,Positiva,,,,,,,,,,,,,,,
Negativa,,Positiva,Positiva,Positiva,,,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,,,,Positiva,Negativa,Negativa,Positiva,Positiva,Positiva,Positiva,,Negativa,Positiva,,,Positiva,,,,,,,,,,,,,,,,,,,
,Positiva,Positiva,Positiva,Negativa,,Positiva,Negativa,Positiva,Positiva,Positiva,Positiva,Positiva,,,Positiva,Positiva,Negativa,,Positiva,Positiva,Positiva,Negativa,Negativa,Negativa,Positiva,,,Positiva,Positiva,,,,,,,,,,,,,,,,,,
,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,,Positiva,Positiva,Positiva,,Positiva,Positiva,Positiva,Positiva,,,Positiva,,,,,Positiva,Positiva,Positiva,Positiva,,,,,,,,,,,,,,,
,Positiva,Positiva,Positiva,Positiva,,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Negativa,,Positiva,Positiva,Positiva,Positiva,,,,,,,Negativa,Positiva,,,,,,,,,,,,,,Positiva,,,
Positiva,Positiva,Negativa,Positiva,Positiva,Positiva,Negativa,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Negativa,Negativa,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,,,,,Negativa,Positiva,,,,,,,,,,,,,,,,,
,,Positiva,Positiva,Positiva,,Positiva,,,Positiva,Positiva,,,,Positiva,Positiva,Positiva,Positiva,,Positiva,Positiva,Positiva,Positiva,,Positiva,,,,,,,,,,,,,,,,,,,,,,,
Positiva,Positiva,,Positiva,Negativa,,Positiva,Negativa,Positiva,Positiva,Positiva,Positiva,Positiva,,,Positiva,Positiva,Negativa,,,Positiva,Positiva,,Negativa,,,Positiva,,,Negativa,,,Negativa,,Positiva,,,Positiva,,,,Positiva,Positiva,Positiva,,,,
,,Positiva,Positiva,Positiva,Negativa,Positiva,,,,,Positiva,Positiva,,Positiva,Positiva,Positiva,Positiva,Negativa,,Positiva,Positiva,,,,,,,,Negativa,,,,,,,,,,,,,,,,,,
,,,,,,,Negativa,Positiva,Positiva,,Positiva,Positiva,Negativa,,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,,,,Positiva,,,,Negativa,,,,,,,,,,,Positiva,,,,,,Positiva,
,,Positiva,Positiva,,,Positiva,,Negativa,,Positiva,Positiva,,Positiva,Positiva,Positiva,,Positiva,,Positiva,Positiva,,Positiva,,Negativa,Negativa,Positiva,Negativa,Negativa,,,,,,,,,,,,,,,,,,,
,Positiva,Positiva,Positiva,,,Positiva,,Positiva,Positiva,Positiva,,Positiva,Positiva,,Positiva,Positiva,Positiva,,Positiva,,,Positiva,,,,Positiva,Positiva,Positiva,,,Positiva,,Positiva,,Positiva,Positiva,,Positiva,,,,,,,Positiva,,
,,,,,,,,,,,,,,,,,Negativa,Negativa,,,Negativa,Negativa,,,Negativa,,Negativa,Positiva,,Negativa,Negativa,,,,,,,,,,,,,,Positiva,,
,,,,,,,,,,,,,,,,,Negativa,Negativa,,,Negativa,Negativa,,,Negativa,,,Positiva,,Negativa,Negativa,,,,,,,,,,,,,,Positiva,,
Negativa,Positiva,Positiva,Positiva,Positiva,,Positiva,Negativa,Positiva,Positiva,,Positiva,,,,Positiva,Positiva,Negativa,,Positiva,Positiva,Positiva,Positiva,,Negativa,Positiva,,,,Positiva,Negativa,,,,,,,,,,,,,,,,,
,,Positiva,Positiva,Positiva,,Positiva,,,Positiva,Positiva,Positiva,,Positiva,Positiva,Positiva,Positiva,Negativa,Negativa,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,,Negativa,,,Negativa,,,,,,,Positiva,Positiva,,,,,,,Positiva
,,,,,,,,,,,,,,,,,,,,Positiva,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positiva,Negativa,Positiva,Positiva,Positiva,,Positiva,,,Positiva,Positiva,Positiva,,Positiva,,Positiva,Positiva,Negativa,,Positiva,Positiva,Positiva,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Positiva,,,,,,,,,,,,,,,,,,,,,,
Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,Positiva,,Positiva,,,,,Positiva,Positiva,,,,,,,,,,,,,,,,,
